Title,Date,Link
"Dow, S&P 500 close at record highs and mark the year's longest winning streak - CNBC",2024-10-18T23:53:14Z,https://slashdot.org/firehose.pl?op=view&amp;id=175281125
Bill Burr Says Elon Musk Is the New Steve Jobs in Terms of Burr Hating Him,2024-10-18T23:30:00Z,https://www.cracked.com/article_44030_bill-burr-says-elon-musk-is-the-new-steve-jobs-in-terms-of-burr-hating-him.html
US probing Elon Musk's Tesla over self-driving systems,2024-10-18T23:27:33Z,https://www.bbc.com/news/articles/cwyvql6g9xxo
"김건희 게이트(2024 Election, War and Rich) 217",2024-10-18T23:18:12Z,https://ryueyes11.tistory.com/511112
Tesla iOS App Updated with Control Center Toggles in iOS 18,2024-10-18T23:17:06Z,https://www.iphoneincanada.ca/2024/10/18/tesla-ios-app-updated-with-control-center-toggles-in-ios-18/
Crashes involving Tesla’s Full Self-Driving prompt new federal probe,2024-10-18T23:06:37Z,https://biztoc.com/x/de4807a037a75f3d
Musk's X seeks to steer lawsuits to conservative court in Texas,2024-10-18T23:06:35Z,https://biztoc.com/x/0a3811cecb12b366
"Cramer's week ahead: Earnings from Boeing, Tesla, IBM and T-Mobile",2024-10-18T23:06:30Z,https://biztoc.com/x/4e3a5b834777696d
Feds Investigate Tesla After Deadly ‘Full Self-Driving’ Crash,2024-10-18T23:00:58Z,https://www.kqed.org/news/12010070/feds-investigate-tesla-after-deadly-full-self-driving-crash
‘I’m With Elon’: Gavin Newsom Sides With Musk’s SpaceX in California Lawsuit,2024-10-18T22:57:17Z,https://www.thewrap.com/gavin-newsom-elon-musk-lawsuit-spacex-california/
"Cramer's week ahead: Earnings from Boeing, Tesla, IBM and T-Mobile",2024-10-18T22:44:53Z,https://www.cnbc.com/2024/10/18/cramers-week-ahead-earnings-from-boeing-tesla-ibm-and-t-mobile.html
"Tesla releases new mobile app update with more offline commands, power meter, more",2024-10-18T22:40:13Z,http://electrek.co/2024/10/18/tesla-releases-new-mobile-app-update-with-more-offline-commands-power-meter-more/
"A Strong Week: Stocks, Gold, and Crypto's Robust Performance",2024-10-18T22:33:50Z,https://stockcharts.com/articles/chartwatchers/2024/10/a-strong-week-stocks-gold-and-163.html
[Removed],2024-10-18T22:27:01Z,https://removed.com
"Tesla “We, Robot” Tech Movie Ripoffs? ",2024-10-18T22:23:33Z,https://cleantechnica.com/2024/10/18/tesla-we-robot-tech-movie-ripoffs-👀/
Tesla's FSD is under federal investigation after four reduced-visibility crashes,2024-10-18T22:22:23Z,https://biztoc.com/x/4bf9d940cc1198a0
"GM will start making money on EVs this year, says CEO",2024-10-18T22:15:04Z,https://www.theverge.com/2024/10/18/24273630/gm-ev-profitability-viability-2024-barra
"Apple's new iPhone sales in China jump 20% in first 3 weeks, Counterpoint says",2024-10-18T22:11:32Z,https://biztoc.com/x/51ebeeb6eefdc254
"Exclusive-Pro-Trump group funded by Musk struggles with outreach targets, inflation of doorknocking figures",2024-10-18T22:11:00Z,https://www.thestar.com.my/news/world/2024/10/19/exclusive-pro-trump-group-funded-by-musk-struggles-with-outreach-targets-inflation-of-doorknocking-figures
Feds Investigating Tesla’s Self-Driving System,2024-10-18T22:10:21Z,https://www.theepochtimes.com/business/feds-investigating-teslas-self-driving-system-5743786
"Exclusive-Pro-Trump group funded by Musk struggles with outreach targets, inflation of doorknocking figures",2024-10-18T22:06:05Z,https://www.investing.com/news/world-news/exclusiveprotrump-group-funded-by-musk-struggles-with-outreach-targets-inflation-of-doorknocking-figures-3671762
Spirit Airlines Skyrockets On Cash Boost; Rivals Fall,2024-10-18T22:02:56Z,https://www.investors.com/news/spirit-airlines-skyrockets-cash-boost-rivals-fall/
Key Strategies To Drive Unmatched Customer Loyalty To Your Brand,2024-10-18T22:00:00Z,https://www.forbes.com/sites/johnhall/2024/10/18/key-strategies-to-drive-unmatched-customer-loyalty-to-your-brand/
Want to buy the iShares S&P 500 ETF (IVV)? Here are the stocks you'd own,2024-10-18T22:00:00Z,https://www.fool.com.au/2024/10/19/want-to-buy-the-ishares-sp-500-etf-ivv-here-are-the-stocks-youd-own/
"Indonesia’s new era: As president, how will Prabowo’s foreign policy navigate Sino-US rivalry?",2024-10-18T22:00:00Z,https://www.channelnewsasia.com/asia/indonesia-president-prabowo-subianto-foreign-policy-4687001
[Removed],2024-10-18T21:42:20Z,https://removed.com
Should You Buy Tesla Stock Before Oct. 23?,2024-10-18T21:27:21Z,https://biztoc.com/x/8c4b5fef0b897f21
"St. Louis man pulled gun on Uber driver and stole his Tesla, charges say",2024-10-18T21:25:00Z,https://www.stltoday.com/news/local/crime-courts/st-louis-man-pulled-gun-on-uber-driver-and-stole-his-tesla-charges-say/article_3c360fac-8d94-11ef-9bff-a3c11869366a.html
"Former OpenAI technology chief Mira Murati to raise capital for new AI startup, sources say",2024-10-18T21:14:26Z,https://www.investing.com/news/economy-news/former-openai-technology-chief-mira-murati-to-raise-capital-for-new-ai-startup-sources-say-3671725
"Former OpenAI technology chief Mira Murati to raise capital for new AI startup, sources say",2024-10-18T21:05:17Z,https://www.channelnewsasia.com/business/former-openai-technology-chief-mira-murati-raise-capital-new-ai-startup-sources-say-4688736
Hyundai’s new IONIQ 5 ‘ultra-fast’ lease offer lets you upgrade it like an iPhone,2024-10-18T21:05:07Z,http://electrek.co/2024/10/18/hyundais-new-ioniq-5-offer-upgrade-like-iphone/
"Getaway Space, Premium Electric Vehicle (EV) Charging Experience in L.A. Now Live on StartEngine",2024-10-18T21:00:00Z,https://www.globenewswire.com/news-release/2024/10/18/2965748/0/en/Getaway-Space-Premium-Electric-Vehicle-EV-Charging-Experience-in-L-A-Now-Live-on-StartEngine.html
[Removed],2024-10-18T20:59:29Z,https://removed.com
"Soon, when a user sues X, the case will go to Texas where a judge is a Tesla investor",2024-10-18T20:54:31Z,https://www.npr.org/2024/10/18/nx-s1-5156254/soon-when-a-user-sues-x-the-case-will-go-to-texas-where-a-judge-is-a-tesla-investor
The Philosophy of Investing,2024-10-18T20:46:59Z,https://erickimphotography.com/blog/2024/10/18/the-philosophy-of-investing-4/
Feds are investigating Tesla ‘Full Self-Driving’ crashes in reduced visibility,2024-10-18T20:32:28Z,https://biztoc.com/x/74b77de63cbdba99
Bluesky Signups Surge After Elon Musk's Twitter Says AI Can Be Trained on Tweets,2024-10-18T20:31:03Z,https://decrypt.co/287241/bluesky-signups-surge-elon-musk-twitter-ai
Stock market today: US stocks close at records and notch 6-week win streak amid solid earnings,2024-10-18T20:09:41Z,https://markets.businessinsider.com/news/stocks/stock-market-today-6-week-win-streak-solid-q3-earnings-2024-10
The Philosophy of Investing,2024-10-18T20:09:10Z,https://erickimphotography.com/blog/2024/10/18/the-philosophy-of-investing-3/
Elon Tempts Fate With Dominion Voting Conspiracy Theory,2024-10-18T20:05:44Z,https://gizmodo.com/elon-tempts-fate-with-dominion-voting-conspiracy-theory-2000513677
Elon Musk offers $100 to Pennsylvania voters for signing petition supporting Trump's campaign,2024-10-18T20:04:21Z,https://www.marca.com/en/lifestyle/us-news/presidential-election/2024/10/18/6712b24822601dbe598b45b5.html
Iran-linked actors target critical infrastructure organizations,2024-10-18T20:01:11Z,https://securityaffairs.com/169960/apt/iran-linked-actors-a-year-long-campaign.html
"After Fatal Crash, Feds Are Investigating Tesla's 'Full Self-Driving'",2024-10-18T20:00:00Z,https://www.newser.com/story/358032/after-fatal-crash-feds-are-investigating-teslas-full-self-driving.html
Turns Out Tesla Cybercabs Aren’t Actually Street-Legal,2024-10-18T20:00:00Z,http://robbreport.com/motors/cars/tesla-cybercab-not-street-legal-1235958771/
"Platformonomics TGIF #69: October 18, 2024",2024-10-18T19:43:40Z,https://platformonomics.com/2024/10/platformonomics-tgif-69-october-18-2024/
"Tesla's ""full self-driving"" faces another NHTSA probe after fatal crashes in low-visibility conditions",2024-10-18T19:37:00Z,https://www.techspot.com/news/105201-tesla-full-self-driving-faces-another-nhtsa-probe.html
Artificial Superintelligence: Transforming Creativity And Jobs,2024-10-18T19:32:42Z,https://www.forbes.com/sites/markminevich/2024/10/18/artificial-superintelligence-transforming-creativity-and-jobs/
Tesla Releases Teaser Video for Wireless Charging of Cybercab,2024-10-18T19:20:29Z,https://gizmodo.com/tesla-releases-teaser-video-for-wireless-charging-of-cybercab-2000513758
Elon Musk Urges Trump Supporters at Rally to Vote: 'Future of America and Civilization Is at Stake',2024-10-18T19:19:42Z,https://www.breitbart.com/tech/2024/10/18/elon-musk-urges-trump-supporters-rally-vote-future-america-civilization-at-stake/
Did Tesla Just Unveil Wireless EV Charging To Combat Cord Thefts?,2024-10-18T19:14:47Z,https://biztoc.com/x/7e565b254f210031
2.4 Million Teslas Under Investigation For 4 Crashes Involving FSD,2024-10-18T19:04:36Z,https://me.pcmag.com/en/ai/26458/24-million-teslas-under-investigation-for-4-crashes-involving-fsd
2.4 Million Teslas Under Investigation For 4 Crashes Involving FSD,2024-10-18T19:04:36Z,https://uk.pcmag.com/ai/154943/24-million-teslas-under-investigation-for-4-crashes-involving-fsd
"A handful of pro-Trump bettors have dumped more than $25 million into Polymarket, swaying election odds in his favor",2024-10-18T19:03:58Z,https://fortune.com/2024/10/18/presidential-election-odds-pro-trump-bettors-polymarket-political-polls-harris/
US Government Is Investigating Tesla’s Full Self-Driving Collisions,2024-10-18T19:01:59Z,https://www.webpronews.com/us-government-is-investigating-teslas-full-self-driving-collisions/
Tesla FSD faces yet another probe after fatal low-visibility crash,2024-10-18T18:52:32Z,https://biztoc.com/x/6ed621326cea7526
Tesla Self-Driving System Will Be Investigated by Safety Agency - The New York Times,2024-10-18T18:52:32Z,https://slashdot.org/firehose.pl?op=view&amp;id=175279269
Tesla FSD faces yet another probe after fatal low-visibility crash,2024-10-18T18:37:21Z,https://www.theregister.com/2024/10/18/tesla_fsd_lowvisibility_accident/
A Quartet of Musical Tesla Coils Play the Classic Halloween Song ‘Spooky Scary Skeletons’,2024-10-18T18:37:17Z,https://laughingsquid.com/spooky-scary-skeletons-tesla-coils/
Ford is replacing some NACS adapters sent to EV owners,2024-10-18T18:26:12Z,http://electrek.co/2024/10/18/ford-replacing-some-nacs-adapters-ev-owners/
"iPhone 16 in China, Tesla probe, Intel-Altera: Stocks in Focus",2024-10-18T18:19:36Z,https://biztoc.com/x/666fc50288f4c5aa
Tesla self-driving crash reports prompt NHTSA investigation,2024-10-18T18:14:47Z,https://abcnews.go.com/Business/tesla-driving-crash-reports-prompt-nhtsa-investigation/story?id=114922283
"Lectric XPress 750 e-bike with $257 in free gear at $1,299, Segway Navimow robot mowers $600 off, Rad Power, EcoFlow, more",2024-10-18T18:00:00Z,http://electrek.co/2024/10/18/lectric-xpress-750-e-bike-segway-navimow-mowers-rad-power-ecoflow-more/
U.S. opens new investigation into Tesla's 'Full Self-Driving' system after fatal crash,2024-10-18T17:57:32Z,https://biztoc.com/x/22ed83aedaaa6335
